Item name,Category,Description,Data type,Range,Resolution,Units,Service page(s),System(s),See 
i478 - Dose channel 2 acknowledge dose count,D2 ack cnt,This item is sent by the processor 1 link handler to acknowledge dose counts in dosimetry channel 2.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i479 - Dose channel 1 acknowledge dose count,D1 ack cnt,This item is sent by the processor 1 link handler in to acknowledge dose counts in dosimetry channel 1.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i480 - Dose channel 2 write protection off,D2 Wr prot off,This item indicates that the write protection for dosimetry channel 2 is Off.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],4513 330 7048 - sheet 2
,,,,,,,,Dosimetry [Ref: 9],
i481 - RHCA DIE RHB port 3,RHB port 3,This item is not used.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i482 - RHCA DIE RHB port 4,RHB port 4,This item is not used.,Not available,Not available,Not available,Not available,Not available,Not available,Not available
i483 - Dose channel 1 write protection off,D1 Wr prot off,This item indicates that the write protection for dosimetry channel 1 is Off.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i484 - Plates sum,Plates sum,This item shows the sum of the outputs of all the dose plates of the ion chamber.,Not available,Not available,Not available,Not available,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,Dosimetry [Ref: 9],
i485 - PRF valid,PRF valid,Not available,Not available,Not available,Not available,Not available,Edit Machine Item Part,HT and RF [Ref: 7],Ref 14: 4513 330 7048 - sheet 1
i486 - Set gun 10-5 vacuum trip,10-5 set G,This item sets the level at which the gun 10-5 vacuum trip inhibits the HT.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7020
,,,,,,,,"Cooling, Gas and Vacuum [Ref: 4]",
,,,,,,,,HT and RF [Ref: 7],
i487 - Set gun 10-4 vacuum trip,10-4 set G,This item sets the level at which the gun 10-4 vacuum trip inhibits the HT.,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7020
,,,,,,,,"Cooling, Gas and Vacuum [Ref: 4]",
,,,,,,,,HT and RF [Ref: 7],
i488 - Dose channel 1 auxiliary capacitor control,Dos Cap on,"This item controls the FET switch for the additional integration capacitor on the DOS-A PCB, allowing dosimetry channel 1 to measure over a larger dynamic range, type and resolution.",Not available,Not available,Integer,Not available,Dose Calibration,Dosimetry [Ref: 9],Not available
i489 - Gantry reference,Gantry ref,This item monitors the position reference microswitch operated by one of two cams on the gantry rim to show that the gantry angle is 0° or 180°. The item is no longer monitored.,Boolean,Not available,Integer,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i490 - Gantry circuit,Gantry cct,"This item monitors a signal which passes through the connector path of the gantry readout potentiometer system, thus showing if any connector in the gantry angle readout system is disconnected.",Boolean,Not available,Integer,Not available,Edit Machine Item Part,Movements [Ref: 6],Ref 14: 4513 330 7047 - sheet 1
i491 - Set target 10-5 vacuum trip,10-5 set T,This item sets the level at which the target 10-5 vacuum trip inhibits the HT,Not available,Not available,Not available,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7020
,,,,,,,,"Cooling, Gas and Vacuum [Ref: 4]",
,,,,,,,,HT and RF [Ref: 7],
i492 - Set target 10-4 vacuum trip,10-4 set T,This item sets the level at which the target 10-4 vacuum trip inhibits the HT.,Not available,Not available,Not available,Not available,Edit Machine Item Part,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7020
,,,,,,,,Power Supplies and Interlocks [Ref: 5],
,,,,,,,,HT and RF [Ref: 7],
i493 - Monitor vacuum circuit,Vacuum cct,This item monitors a signal which passes through the connector path of the vacuum monitoring circuit. It indicates that a connector in the vacuum readout system is disconnected. The item inhibits the gun filament current in the event of a fault.,Boolean,0 Vacuum monitoring circuit OK,Integer,None,Edit Machine Item Part,"Cooling, Gas and Vacuum [Ref: 4]",Ref 14: 4513 330 7020 - sheet 1
,,,,1 Vacuum monitoring circuit broken,,,,HT and RF [Ref: 7],4513 330 7088 - sheet 2
i494 - Global state control ICCA RTU A,Gbl/St ICA,The global state control item for RTU A in the ICCA (Area 72).,Not available,"0 to 15. All other codes are invalid, see Table A2",Not available,Not available,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7021 - sheet 1
,,"This item is written as a group (i494 to i499) such that all RTUs are in the same state, as a function of state control item i2.",,,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7053 - sheet 2 
,,,,,,,,,4513 330 7052 - sheet 1
,,,,,,,,,4513 330 7054 - sheet 1
i495 - Global state control ICCA RTU B,Gbl/St ICB,The global state control item for RTU B in the ICCA (Area 72).,Not available,"0 to 15. All other codes are invalid, see Table A2",Not available,Not available,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7021 - sheet 1
,,"This item is written as a group (i494 to i499) such that all RTUs are in the same state, as a function of state control item i2.",,,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7054 - sheet 1
,,,,,,,,,4513 330 7053 - sheet 2
i496 - Global state control RHCA RTU A,Gbl/St RHA,The global state control item for RTU A in the RHCA (Area 12).,Not available,"0 to 15. All other codes are invalid, see Table A2",Not available,Not available,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7021 - sheet 1
,,"This item is written as a group (i494 to i499) such that all RTUs are in the same state, as a function of state control item i2.",,,,,,Beam Physics [Ref: 8],4513 330 7041 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7040 - sheet 1
i497 - Global state control RHCA RTU B,Gbl/St RHB,The global state control item for RTU B in the RHCA (Area 12).,Not available,"0 to 15. All other codes are invalid, see Table A2",Not available,Not available,Area Status,System Communications [Ref: 2],4513 330 7021 - sheet 1
,,"This item is written as a group (i494 to i499) such that all RTUs are in the same state, as a function of state control item i2.",,,,,,Beam Physics [Ref: 8],4513 330 7043 - sheet 1
,,,,,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7042 - sheet 1
i498 - Global state control HTCA RTU A,Gbl/St HTA,The global state control item for RTU A in the HTCA (Area 16).,Not available,"0 to 15. All other codes are invalid, see Table A2",Not available,Not available,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7021 - sheet 1
,,"This item is written as a group (i494 to i499) such that all RTUs are in the same state, as a function of state control item i2.",,,,,,Power Supplies and Interlocks [Ref: 5],4513 330 7053 - sheet 2
i499 - Global state control HTCA RTU B,Gbl/St HTB,The global state control item for RTU B in the HTCA (Area 16).,Not available,"0 to 15. All other codes are invalid, see Table A2",Not available,Not available,Area Status,System Communications [Ref: 2],Ref 14: 4513 330 7021 - sheet 1
,,"This item is written as a group (i494 to i499) such that all RTUs are in the same state, as a function of state control item i2.",,,,,,Power Supplies and Interlocks [Ref: 5],
i500 - Dose channel 1 beam end,D1 Bm end,This item is a status bit showing the hardware end of BEAM in dosimetry channel 1.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],4513 330 7048 - sheet 1 
i501 - Dose channel 1 segment end,D1 Sg end,This item is a status bit showing the hardware end of SEGMENT in dosimetry channel 1.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],4513 330 7021 - sheet 1
,,,,,,,,,4513 330 7048 - sheet 1
,,,,,,,,,4513 330 7036 - sheet 1
i502 - Dose channel 1 auxiliary capacitor monitor,Dos Cap Mon,"This item monitors whether the auxiliary integration capacitor in dosimetry channel 1 is switched in, and provides an interlock on this function. A terminate will occur if a fault is detected.",Not available,Not available,Integer,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i503 - Dose channel 1 MU count,D1 MU cnt,A hardware status bit showing that a 1 MU count has occurred in dosimetry channel 1. The software acknowledges the status bit by writing ACKNOWLEDGE COUNT to the DOS-A PCB. Otherwise a hardware termination occurs.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i504 - Dose channel 1 test link,D1 tst lnk,"A hardware status bit showing whether the test link is inserted in dosimetry channel 1. If the test link is inserted, it is not possible to operate in Clinical Mode.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i505 - Dose channel 1 reset enabled,D1 rst en,A hardware status bit showing whether the reset is enabled in dosimetry channel 1.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i506 - Dose channel 1 supply,D1 supply,"A hardware status bit showing whether a fault exists in any power supply to dosimetry channel 1. The monitored supplies are: +15 V, -15 V, +6.3 V ref, -300 V. +5 V is implicitly checked by accessing the DOS-A PCB.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1
,,,,,,,,,4513 330 7049
i507 - Dose channel 1 excess rate,D1 Ex rate,A hardware status bit showing whether an excess rate fault has occurred in dosimetry channel 1. The hardware excess rate fault is tripped at a dose rate of between 1100 MU/min and 1200 MU/min.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i508 - Dose channel 1 reset,D1 reset,A hardware status bit showing whether the reset is applied in dosimetry channel 1.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i509 - Dose channel 1 write protect,D1 wr prot,A hardware status bit showing whether new settings can be written to dosimetry channel 1.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i510 - Dose channel 1 dummy,D1 dummy D,"A hardware status bit showing whether the dummy dose FET in dosimetry channel 1 is On, allowing a dummy dose to be injected for complete sequence test.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i511 - Dose channel 1 relay off,D1 rly off,"A hardware status bit showing whether the dosimetry relay in dosimetry channel 1 is enabled. The relay is disabled by any fault status, and by end of beam on the hardware counters. The relay is re-enabled by a dosimetry reset.",Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14:4513 330 7048 - sheet 1 
i512 - Dose channel 1 illegal write,D1 ill wrt,This item shows a dose channel 1 hardware status bit showing if an illegal write has occurred.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i513 - Dose channel 1 no acknowledgement of first count,D1 cnt NAK,This item is a dose channel 1 hardware status bit showing if two counts have occurred on the beam counter and the software failed to acknowledge the first.,Not available,Not available,Not available,Not available,Dosimetry,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 - sheet 1 
i514 - Dose channel 1 mod set,D1 mod set,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Dosimetry [Ref: 9],Ref 14: 4513 330 7036 - sheet 1
,,,,,,,,Accessories [Ref: 11],4513 330 7048 - sheet 1
i515 - Dose channel 1 mod check,D1 mod chk,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Dosimetry [Ref: 9],Ref 14: 4513 330 7048 Sheet 1
i516 - Scatter foil threshold,Scat thres,This item controls the window within which the scatter foil mechanism is stable.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],4513 330 7041 - sheet 1
i517 - Scatter foil limit,Scat limit,Not available,Not available,Not available,Integer,Not available,Edit Machine Item Part,Power Supplies and Interlocks [Ref: 5],Ref 14: 4513 330 7021 - sheet 1
,,,,,,,,Beam Physics [Ref: 8],4513 330 7041 - sheet 1
i518 - Collimator parity,Coll parit,This item shows any parity error has occurred on the primary collimator coding.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7040 - sheet 1 
i519 - Secondary filter parity,Fltr parit,This item shows any parity error has occurred on the secondary filter coding.,Not available,Not available,Integer,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7042 - sheet 1 
i520 - Bending current set coarse,Bend C set,The output item of the bending PSU coarse servo.,Not available,Not available,0.1,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7024 - sheet 1 
i521 - Bending current set fine,Bend F set,The output item of the bending PSU fine servo.,Not available,Not available,0.01,Not available,Edit Machine Item Part,Beam Physics [Ref: 8],Ref 14: 4513 330 7024 - sheet 1 
